20
20
8543,3,1
29687,1,7
40572,19,6
48826,17,17
50940,7,1
40035,11,4
55956,6,11
1903,13,0
33448,17,12
46351,15,10
15860,7,15
56946,4,10
36468,6,18
54987,8,0
56989,8,11
27169,16,5
25075,5,19
22831,19,3
1230,18,7
50080,4,15
38604,10,8
46182,11,7
34174,11,19
45173,9,5
37222,19,19
9071,1,16
2004,4,1
15858,14,11
33807,15,18
26944,13,11
1237,17,7
25343,13,8
44057,15,16
55698,5,15
48830,19,5
44804,19,0
47614,7,4
29534,1,13
48801,11,6
32850,5,2
28513,6,6
44543,8,9
27383,19,5
21607,1,0
19705,2,2
7837,16,1
13384,6,15
47238,15,2
32419,3,3
52283,1,5
37230,15,9
22734,17,16
36174,16,10
1878,10,12
45494,8,19
15021,15,8
39262,16,16
54292,6,4
52258,5,4
51995,7,18
14715,0,5
55279,6,13
47903,15,0
19418,18,1
19531,14,12
31587,9,11
13410,16,5
7824,13,9
6350,6,8
28062,0,3
11543,4,0
902,2,10
46305,1,19
14148,12,2
16582,5,6
174,12,4
31424,6,14
36896,4,7
5470,12,5
55711,6,1
29688,1,7
39669,14,14
40573,19,6
32418,1,1
21022,4,19
21775,15,9
33449,13,14
28476,19,18
46311,1,19
24965,12,3
35548,0,16
18637,3,0
42755,19,14
41536,17,11
15807,17,9
50943,7,2
34187,15,19
28508,10,6
44060,15,14
42920,1,13
15977,0,6
57645,2,7
34190,14,14
36674,4,0
38317,13,6
33670,0,14
27318,18,16
1905,13,0
25080,4,18
48804,11,6
3429,6,8
46184,10,10
5779,11,1
20742,18,10
26332,15,5
27384,15,11
51751,19,13
16127,17,3
47915,14,0
46066,15,2
19706,2,2
45672,8,9
22577,1,9
29374,14,8
46068,18,1
16125,16,13
45013,0,8
1879,9,12
171,8,16
26665,15,2
1232,17,7
46312,1,19
15022,15,8
18898,11,17
54293,6,4
33809,15,17
16978,19,7
1918,13,0
24970,13,3
19532,14,12
19419,19,3
32853,5,2
21619,10,9
47606,5,5
13849,17,0
42275,15,17
28063,2,4
45582,18,3
50270,5,19
33788,11,8
51660,2,13
21626,6,0
18180,5,17
46356,15,5
5157,19,1
33817,19,17
24477,18,15
21638,2,0
26335,18,3
33450,17,12
45682,15,4
11551,4,0
16325,15,3
54989,8,0
10923,12,3
22834,19,3
15452,19,2
33803,17,18
15808,17,9
37301,9,1
50944,7,2
35681,10,14
47905,15,0
36904,9,5
34191,15,13
13412,15,16
46156,13,19
48882,18,14
25076,6,18
24838,0,12
16377,13,2
46185,11,10
47493,19,0
40184,8,14
22738,17,16
13840,17,0
44544,14,3
31589,12,14
1898,12,10
5156,15,2
54259,2,5
16128,17,3
10690,13,6
14403,13,2
40770,7,19
30847,14,10
28695,2,3
33810,16,17
51770,0,15
16850,12,13
24971,13,3
54883,5,16
8269,0,10
36821,7,10
34081,7,1
48181,2,14
26938,14,7
44051,15,15
18635,0,1
30557,5,9
21627,6,0
46357,15,5
28174,7,8
43527,8,0
46061,16,16
42277,14,16
29788,9,3
46314,1,19
49619,8,11
49533,13,13
